imdb_id,studio,country
tt4682266,Marvel Entertainment,US
tt4682266,20th Century Studios,US
tt4682266,TSG Entertainment,US
tt7349950,Lin Pictures,US
tt7349950,New Line Cinema,US
tt7349950,Vertigo Entertainment,US
tt7349950,KatzSmith Productions,US
tt7349950,Double Dream,
tt0079945,Paramount,US
tt1325004,Summit Entertainment,US
tt1325004,Temple Hill Entertainment,US
tt1325004,Imprint Entertainment,US
tt1325004,Maverick Films,US
tt1325004,Sunswept Entertainment,
tt10665338,Universal Pictures,US
tt10665338,Blumhouse Productions,US
tt10665338,Home Again Productions,
tt10665338,Miramax,US
tt10665338,Rough House Pictures,US
tt10665338,Trancas International Films,US
tt2316204,Scott Free Productions,GB
tt2316204,Brandywine Productions,US
tt2316204,TSG Entertainment,US
tt2316204,20th Century Fox,US
tt5220122,Columbia Pictures,US
tt5220122,Sony Pictures Animation,US
tt5220122,Sony Pictures,US
tt5109280,Walt Disney Pictures,US
tt5109280,Walt Disney Animation Studios,US
tt0293429,Atomic Monster,US
tt0293429,Broken Road Productions,US
tt0293429,New Line Cinema,US
tt2294629,Walt Disney Pictures,US
tt2294629,Walt Disney Animation Studios,US
tt0322259,Ardustry Entertainment,
tt0322259,Mikona Productions GmbH & Co. KG,DE
tt0322259,Original Film,US
tt0322259,Universal Pictures,US
tt1727824,GK Films,GB
tt1727824,Regency Enterprises,US
tt1727824,Queen Films,GB
tt1727824,Tribeca Productions,US
tt1727824,New Regency Pictures,US
tt1727824,20th Century Fox,US
tt0082971,Paramount,US
tt0082971,Lucasfilm Ltd.,US
tt7975244,Columbia Pictures,US
tt7975244,Seven Bucks Productions,US
tt7975244,Matt Tolmach Productions,US
tt7975244,The Detective Agency,
tt0071788,Max Baer Productions,
tt10059518,Solstice Productions,US
tt10059518,Burek Films,GB
tt10059518,Ingenious Media,GB
tt10059518,Altitude Film Entertainment,GB
tt0081505,Hawk Films,
tt0081505,Peregrine,
tt0081505,Warner Bros. Pictures,US
tt0081505,Producers Circle,
tt7713068,Warner Bros. Pictures,US
tt7713068,DC Films,US
tt7713068,LuckyChap Entertainment,US
tt7713068,Clubhouse Pictures,US
tt7713068,Kroll & Co Entertainment,US
tt10954652,Universal Pictures,US
tt10954652,Blinding Edge Pictures,US
tt10954652,Perfect World Pictures,CN
tt2527338,Lucasfilm Ltd.,US
tt2527338,Bad Robot,US
tt0082979,JRS Productions,
tt0082979,Barclays Mercantile Industrial Finance,
tt0082979,Paramount,US
tt12361974,Warner Bros. Pictures,US
tt12361974,The Stone Quarry,US
tt12361974,Atlas Entertainment,US
tt12361974,DC Entertainment,US
tt12361974,Access Entertainment,US
tt12361974,Dune Entertainment,US
tt12361974,DC Films,US
tt12361974,DC Comics,US
tt5013056,Warner Bros. Pictures,US
tt5013056,Syncopy,GB
tt1646971,DreamWorks Animation,US
tt1646971,Mad Hatter Entertainment,US
tt1646971,Vertigo Entertainment,US
tt0074174,Paramount,US
tt0087957,Water,US
tt0087957,Purple Films,US
tt0087957,Warner Bros. Pictures,US
tt0087957,Warner Bros. Entertainment,US
tt5034838,Warner Bros. Pictures,US
tt5034838,Legendary Pictures,US
tt0112864,Cinergi Pictures Entertainment,
tt0112864,20th Century Fox,US
tt0110322,Bedford Falls Productions,US
tt0110322,TriStar Pictures,US
tt0110322,Pangaea,
tt0111070,Walt Disney Pictures,US
tt0111070,Hollywood Pictures,US
tt0111070,Outlaw Productions,US
