imdb_id,imdb_rating,metacritic_score,title,year,boxOffice,numTickets,boxOfficeAdjusted,ticketPriceAdjusted
tt0070328,6.8,,Live and Let Die,1973,35400000,20000000,33333333.333333332,1.6666666666666665
tt1392190,8.099999999999998,,Mad Max: Fury Road,2015,153214368,18174895,27031469.30134086,1.487297137141142
tt0479952,6.6,61.0,Madagascar: Escape 2 Africa,2008,177016810,24654152,34378871.62555836,1.3944455126892363
tt0077889,6.8,72.0,Magic,1978,23800000,10170940,15256410.256410256,1.5000000252100845
tt0070355,7.2,58.0,Magnum Force,1973,44680473,25243205,42072008.47457627,1.666666672261952
tt4777008,6.6,43.0,Maleficent: Mistress of Evil,2019,113294737,12368421,18530378.966306835,1.4982008589703435
tt0089560,7.2,56.0,Mask,1985,42417782,11948670,16492139.191290824,1.380248947480416
tt0317919,6.9,66.0,Mission: Impossible III,2006,133501348,20381885,27691629.95229206,1.3586392991763057
tt0369735,5.6,31.0,Monster-in-Law,2005,82931301,12937800,17758308.565310493,1.3725910560768053
tt1453405,7.2,,Monsters University,2013,268488329,33024394,48193920.12206067,1.4593430578032915
tt0864835,6.8,59.0,Mr. Peabody & Sherman,2014,111506430,13648277,19697302.596714363,1.443208003231057
tt0120762,7.599999999999999,66.0,Mulan,1998,120620254,25718604,30944139.04566444,1.2031811308912583
tt0074937,7.4,62.0,Murder by Death,1976,32511047,15263402,23887617.193240266,1.5650257520073354
tt0071877,7.3,52.0,Murder on the Orient Express,1974,35733867,19109019,30308623.40966921,1.586089971948283
tt0074958,8.099999999999998,,Network,1976,23689877,11122007,17406228.50844967,1.5650258544568143
tt0102526,6.7,,New Jack City,1991,47624253,11312174,14622122.505373042,1.2926005651409749
tt10954652,5.8,77.0,Old,2021,48242510,5266649,7794879.625141379,1.4800453998626792
tt1114740,5.2,13.0,Paul Blart: Mall Cop,2009,146336178,19511490,28525570.76023392,1.4619883340654107
tt0091738,6.4,74.0,Peggy Sue Got Married,1986,39419555,10625216,15039891.262876764,1.415490401595296
tt0089822,5.8,39.0,Police Academy 2: Their First Assignment,1985,55337042,15587899,21515179.626749612,1.3802488473109567
tt0091777,5.4,33.0,Police Academy 3: Back in Training,1986,43579163,11746405,16626922.16711179,1.4154902855053773
tt0091778,5.7,49.0,Poltergeist II: The Other Side,1986,40996665,11050314,15641611.980160244,1.4154902729605914
tt0100404,6.9,72.0,Presumed Innocent,1990,86303188,20450992,27617020.16,1.3504000275390065
tt0110912,8.9,94.0,Pulp Fiction,1994,63660214,15602993,17957747.24964739,1.1509168304854966
tt0448694,6.6,65.0,Puss in Boots,2011,145738327,18378099,27093944.41345975,1.4742517391738803
tt5109280,7.4,75.0,Raya and the Last Dragon,2021,54723032,5974130,8841982.872838907,1.4800452740129368
tt1436562,6.9,63.0,Rio,2011,143619809,18110947,26700094.62725414,1.4742517123623706
tt0107969,6.3,,Rising Sun,1993,63095271,15240403,18262017.655571636,1.1982634353941715
tt0086200,6.8,,Risky Business,1983,63541777,20171992,26675808.984047018,1.3224181818060912
tt0257044,7.7,72.0,Road to Perdition,2002,104054514,17909554,24187474.198047422,1.3505347033235682
tt0102798,6.9,51.0,Robin Hood: Prince of Thieves,1991,165493908,39309716,50811761.74393614,1.2926005810862673
tt0075148,8.099999999999998,70.0,Rocky,1976,117235147,55039975,86138976.48787656,1.5650257197223756
tt0084602,6.8,57.0,Rocky III,1982,125049125,42533715,54180730.06932409,1.2738301855204535
tt3748528,7.8,,Rogue One: A Star Wars Story,2016,424987707,49131526,74039670.20905922,1.5069686662909518
tt0091875,6.6,41.0,Running Scared,1986,38500726,10377554,14689326.974437237,1.415490295154064
tt0206275,6.2,53.0,Save the Last Dance,2001,91038276,16084501,21501718.469532356,1.3367973597398113
tt0134084,5.6,,Scream 3,2000,89138076,16537676,21645963.088878095,1.308887844270144
tt0098273,6.8,66.0,Sea of Love,1989,58571513,14679577,19754304.55311973,1.34569984905694
tt0078227,5.9,68.0,Semi-Tough,1977,37187139,16675847,25664002.070393372,1.5389924164207895
tt0070666,7.7,87.0,Serpico,1973,27274150,15409124,25681873.822975516,1.6666666984427874
tt1000774,5.6,,Sex and the City,2008,152647258,21260064,29646000.776849873,1.394445509517275
tt0073692,6.4,65.0,Shampoo,1975,49407734,24101333,38389847.70784771,1.5928516363741254
tt0448115,7.0,71.0,Shazam!,2019,140371656,15324417,22959053.97448479,1.4982008108030989
tt1515091,7.5,48.0,Sherlock Holmes: A Game of Shadows,2011,136910219,17264845,25452727.086819112,1.4742516997296595
tt0075222,6.7,,Silent Movie,1976,36145695,16969809,26558188.831741367,1.565025795619819
tt0105417,6.4,51.0,Sister Act,1992,139605150,33639795,41598674.01668654,1.2365911866194945
tt0069303,7.599999999999999,80.0,Sounder,1972,16889761,9935153,16889761.0,1.7000000905874324
tt0094012,7.1,46.0,Spaceballs,1987,38119483,9749228,14029990.06256901,1.4390872859439752
tt0114508,5.8,19.0,Species,1995,60054449,13805620,16480364.709110867,1.1937431791626067
tt0145487,7.3,73.0,Spider-Man,2002,403706375,69484746,93841556.25290564,1.3505346375290144
tt6320628,7.4,,Spider-Man: Far from Home,2019,390532085,42634507,63875054.79228001,1.498200853882983
tt0227538,5.5,,Spy Kids,2001,112692062,19910258,26615980.632971186,1.3367973751505975
tt0796366,7.9,64.0,Star Trek,2009,257730019,34364003,50239769.78557505,1.4619882842396168
tt0098382,5.5,43.0,Star Trek V: The Final Frontier,1989,52210049,13085225,17608785.49747049,1.3456998635843473
tt0102975,7.2,,Star Trek VI: The Undiscovered Country,1991,70740158,16802887,21719422.16763893,1.2926006208123004
tt0117731,7.599999999999999,62.0,Star Trek: First Contact,1996,89187714,20178215,23777049.853372436,1.17835248823409
tt0111280,6.6,47.0,Star Trek: Generations,1994,71454304,17513309,20156362.20028209,1.1509168370341716
tt0079945,6.4,38.0,Star Trek: The Motion Picture,1979,82258456,32772293,47383903.22580645,1.445852544581072
tt0335438,6.1,55.0,Starsky & Hutch,2004,88200225,14202934,19526284.038078368,1.3748063631133094
tt0079948,6.4,64.0,Starting Over,1979,38200000,15219123,22004608.294930875,1.4458525826311328
tt0098384,7.3,56.0,Steel Magnolias,1989,50788964,12729063,17129498.819561552,1.3456999010501836
tt0083131,6.9,68.0,Stripes,1981,85300000,30683453,39236430.54277829,1.2787488599401864
tt0164912,5.9,61.0,Stuart Little,1999,79403127,15630536,19930503.765060242,1.2751004677677236
tt0086383,6.6,52.0,Sudden Impact,1983,41852579,13286533,17570352.22502099,1.3224181376000037
tt1386697,5.9,72.0,Suicide Squad,2016,325100054,37583821,56637640.069686405,1.5069686520081713
tt3263904,7.4,74.0,Sully,2016,124976335,14448131,21772880.662020907,1.506968663422342
tt0078346,7.3,44.0,Superman,1978,40925251,17489424,26234135.256410256,1.4999999574834628
tt0086393,5.0,44.0,Superman III,1983,59950623,19031943,25168187.65743073,1.3224181922692144
tt1291150,5.8,40.0,Teenage Mutant Ninja Turtles,2014,191204754,23403274,33775791.20296767,1.4432079547061525
tt0103060,6.0,45.0,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,78656813,18683328,24150080.749155663,1.2926005874946724
tt0181852,6.3,66.0,Terminator 3: Rise of the Machines,2003,150358296,24935040,34180108.20641055,1.3707661269607168
tt0438488,6.5,49.0,Terminator Salvation,2009,125322469,16709663,24429331.189083822,1.4619882632632282
tt1872181,6.5,,The Amazing Spider-Man 2,2014,202853933,24829122,35833586.468821764,1.4432079583330317
tt0072653,6.4,37.0,The Apple Dumpling Gang,1975,31916500,15569024,24799145.2991453,1.5928516327770643
tt0074174,7.3,65.0,The Bad News Bears,1976,42349782,19882526,31116665.686994858,1.5650257762517126
tt0115685,7.1,72.0,The Birdcage,1996,124060553,28067998,33073994.401492935,1.1783524568262025
tt0878804,7.599999999999999,53.0,The Blind Side,2009,208476067,27796809,40638609.551656924,1.4619883005871979
tt0103855,6.3,47.0,The Bodyguard,1992,98542557,23745194,29363098.033373065,1.2365912038188893
tt0258463,7.9,68.0,The Bourne Identity,2002,121468960,20906877,28235462.57554626,1.3505346865314347
tt0499448,6.5,62.0,The Chronicles of Narnia: Prince Caspian,2008,141621490,19724441,27504659.15711789,1.3944455590461544
tt0109446,6.8,65.0,The Client,1994,92115211,22577257,25984544.710860368,1.150916814689241
tt0481499,7.2,55.0,The Croods,2013,187168425,23021946,33596917.07054389,1.4593430577303887
tt0382625,6.6,46.0,The Da Vinci Code,2006,217536138,33211624,45122617.2993155,1.3586392914515562
tt1345836,8.4,78.0,The Dark Knight Rises,2012,448139099,56298881,81613385.35785832,1.449644893614463
tt0069946,6.0,,The Day of the Dolphin,1973,2300000,1299435,2165725.047080979,1.6666667028985516
tt0072926,6.4,61.0,The Eiger Sanction,1975,14200000,6926829,11033411.033411033,1.5928516545465512
tt0080678,8.099999999999998,78.0,The Elephant Man,1980,26010864,9669466,13196785.388127854,1.3647894711174178
tt0077504,6.2,42.0,The End,1978,30354004,12971796,19457694.871794872,1.500000067206952
tt0232500,6.8,58.0,The Fast and the Furious,2001,144512310,25532210,34131391.119508736,1.3367973676978504
tt0091064,7.599999999999999,65.0,The Fly,1986,37585000,10130727,14339946.585272796,1.4154903774697312
tt0082406,7.3,73.0,The Fox and the Hound,1981,43899231,15791090,20192838.546458144,1.2787488733493473
tt0076070,6.4,59.0,The Gauntlet,1977,35400000,15874439,24430641.82194617,1.53899245333622
tt0091129,6.0,37.0,The Golden Child,1986,54500686,14690211,20793851.96489889,1.415490353739568
