imdb_id,source,rating
tt0479952,IMDb,6.6
tt0479952,Metacritic,61.0
tt0077889,IMDb,6.8
tt0077889,Metacritic,72.0
tt0070355,IMDb,7.2
tt0070355,Metacritic,58.0
tt4777008,IMDb,6.6
tt4777008,Metacritic,43.0
tt0089560,IMDb,7.2
tt0089560,Metacritic,56.0
tt0317919,IMDb,6.9
tt0317919,Metacritic,66.0
tt0369735,IMDb,5.6
tt0369735,Metacritic,31.0
tt1453405,IMDb,7.2
tt0864835,IMDb,6.8
tt0864835,Metacritic,59.0
tt0120762,IMDb,7.599999999999999
tt0120762,Metacritic,66.0
tt0074937,IMDb,7.4
tt0074937,Metacritic,62.0
tt0071877,IMDb,7.3
tt0071877,Metacritic,52.0
tt0074958,IMDb,8.099999999999998
tt0102526,IMDb,6.7
tt10954652,IMDb,5.8
tt10954652,Metacritic,77.0
tt1114740,IMDb,5.2
tt1114740,Metacritic,13.0
tt0091738,IMDb,6.4
tt0091738,Metacritic,74.0
tt0089822,IMDb,5.8
tt0089822,Metacritic,39.0
tt0091777,IMDb,5.4
tt0091777,Metacritic,33.0
tt0091778,IMDb,5.7
tt0091778,Metacritic,49.0
tt0100404,IMDb,6.9
tt0100404,Metacritic,72.0
tt0110912,IMDb,8.9
tt0110912,Metacritic,94.0
tt0448694,IMDb,6.6
tt0448694,Metacritic,65.0
tt5109280,IMDb,7.4
tt5109280,Metacritic,75.0
tt1436562,IMDb,6.9
tt1436562,Metacritic,63.0
tt0107969,IMDb,6.3
tt0086200,IMDb,6.8
tt0257044,IMDb,7.7
tt0257044,Metacritic,72.0
tt0102798,IMDb,6.9
tt0102798,Metacritic,51.0
tt0075148,IMDb,8.099999999999998
tt0075148,Metacritic,70.0
tt0084602,IMDb,6.8
tt0084602,Metacritic,57.0
tt3748528,IMDb,7.8
tt0091875,IMDb,6.6
tt0091875,Metacritic,41.0
tt0206275,IMDb,6.2
tt0206275,Metacritic,53.0
tt0134084,IMDb,5.6
tt0098273,IMDb,6.8
tt0098273,Metacritic,66.0
tt0078227,IMDb,5.9
tt0078227,Metacritic,68.0
tt0070666,IMDb,7.7
tt0070666,Metacritic,87.0
tt1000774,IMDb,5.6
tt0073692,IMDb,6.4
tt0073692,Metacritic,65.0
tt0448115,IMDb,7.0
tt0448115,Metacritic,71.0
