imdb_id,imdb_rating,metacritic_score,title,year,boxOffice,numTickets
tt0481499,7.2000000000000002,55.0,The Croods,2013,187168425,23021946
tt0382625,6.5999999999999996,46.0,The Da Vinci Code,2006,217536138,33211624
tt1345836,8.4000000000000004,78.0,The Dark Knight Rises,2012,448139099,56298881
tt0069946,6,,The Day of the Dolphin,1973,2300000,1299435
tt0072926,6.4000000000000004,61.0,The Eiger Sanction,1975,14200000,6926829
tt0080678,8.0999999999999996,78.0,The Elephant Man,1980,26010864,9669466
tt0077504,6.2000000000000002,42.0,The End,1978,30354004,12971796
tt0232500,6.7999999999999998,58.0,The Fast and the Furious,2001,144512310,25532210
tt0091064,7.5999999999999996,65.0,The Fly,1986,37585000,10130727
tt0082406,7.2999999999999998,73.0,The Fox and the Hound,1981,43899231,15791090
tt0076070,6.4000000000000004,59.0,The Gauntlet,1977,35400000,15874439
tt0091129,6,37.0,The Golden Child,1986,54500686,14690211
tt1979388,6.7000000000000002,66.0,The Good Dinosaur,2015,114766932,13614108
tt0089218,7.7999999999999998,62.0,The Goonies,1985,61389680,17292867
tt1411697,6.5,30.0,The Hangover Part II,2011,254464305,32088815
tt2310332,7.4000000000000004,59.0,The Hobbit: The Battle of the Five Armies,2014,220602017,27001470
tt1170358,7.7999999999999998,66.0,The Hobbit: The Desolation of Smaug,2013,228934309,28159201
tt1951264,7.5,76.0,The Hunger Games: Catching Fire,2013,407139699,50078683
tt1951266,6.5999999999999996,,The Hunger Games: Mockingjay - Part 2,2015,274185395,32524957
tt0317705,8,80.0,The Incredibles,2004,251657004,40524477
tt0317740,7,68.0,The Italian Job,2003,106126012,17599670
tt0110366,6.2999999999999998,45.0,The Little Rascals,1994,51764950,12687487
tt0077869,6.2000000000000002,94.0,The Lord of the Rings,1978,27000000,11538461
tt0167261,8.6999999999999993,87.0,The Lord of the Rings: The Two Towers,2002,262300833,45146442
tt0079510,5.5999999999999996,52.0,The Main Event,1979,37198813,14820244
tt0110475,6.9000000000000004,56.0,The Mask,1994,118866164,29133863
tt0120746,6.7999999999999998,63.0,The Mask of Zorro,1998,93828745,20006128
tt0074906,6.5,65.0,The Missouri Breaks,1976,14000000,6572769
tt0079588,7.5999999999999996,,The Muppet Movie,1979,76657000,30540637
tt0095705,7.5999999999999996,76.0,The Naked Gun: From the Files of Police Squad!,1988,54989495,13379439
tt0076507,6.0999999999999996,,The Other Side of Midnight,1977,24652021,11054717
tt0230600,7.5999999999999996,74.0,The Others,2001,96522687,17053478
tt0076618,6.9000000000000004,74.0,The Rescuers,1977,29052407,13027985
tt2709768,6.5,61.0,The Secret Life of Pets,2016,368384330,42587783
tt5113040,6.5,,The Secret Life of Pets 2,2019,158874395,17344366
tt0093936,6.5,,The Secret of My Success,1987,66995000,17134271
tt0102926,8.5999999999999996,85.0,The Silence of the Lambs,1991,130726716,31051476
tt0462538,7.2999999999999998,,The Simpsons Movie,2007,183135014,26618461
tt2279373,6,62.0,The SpongeBob Movie: Sponge Out of Water,2015,162994032,19334997
tt0076752,7.0999999999999996,55.0,The Spy Who Loved Me,1977,46800000,20986547
tt0084749,5.5999999999999996,39.0,The Sword and the Sorcerer,1982,36714025,12487763
tt0120484,6.0999999999999996,41.0,The Waterboy,1998,150042308,31991963
tt0070903,7.0999999999999996,61.0,The Way We Were,1973,49919870,28203316
tt1430132,6.7000000000000002,40.0,The Wolverine,2013,132556852,16304655
tt0143145,6.4000000000000004,57.0,The World Is Not Enough,1999,117877025,23204138
tt0800369,7,75.0,Thor,2011,181030624,22828578
tt0073802,7.4000000000000004,63.0,Three Days of the Condor,1975,41509797,20248681
tt0088272,6.2999999999999998,57.0,Tightrope,1984,48100000,14315476
tt1361336,5.2999999999999998,32.0,Tom and Jerry,2021,46000271,5021863
tt0120347,6.5,52.0,Tomorrow Never Dies,1997,92433154,20137942
tt0084805,7.4000000000000004,88.0,Tootsie,1982,40897781,13910809
tt0098536,6.2000000000000002,36.0,Turner & Hooch,1989,71079915,17814515
tt0086491,6.5,,Twilight Zone: The Movie,1983,29500000,9365079
tt0096320,6.0999999999999996,74.0,Twins,1988,73099158,17785683
tt0105690,6.5,16.0,Under Siege,1992,80939817,19503570
tt0078446,6.9000000000000004,50.0,Up in Smoke,1978,41590893,17773885
tt0081696,6.4000000000000004,61.0,Urban Cowboy,1980,46918287,17441742
tt7097896,6.2999999999999998,48.0,Venom: Let There Be Carnage,2021,197007650,21507385
tt0396269,6.9000000000000004,64.0,Wedding Crashers,2005,209218368,32639370
tt0105812,6.7999999999999998,,White Men Can't Jump,1992,76253806,18374411
tt0451279,7.4000000000000004,60.0,Wonder Woman,2017,412563408,45993691
tt1877832,7.9000000000000004,75.0,X-Men: Days of Future Past,2014,233921534,28631766
tt0115433,5.7000000000000002,49.0,101 Dalmatians,1996,121795758,27555601
tt2294449,7,71.0,22 Jump Street,2014,191719337,23466259
tt0104257,7.7000000000000002,62.0,A Few Good Men,1992,77976752,18789578
tt0075648,5.7000000000000002,36.0,Airport '77,1977,30000000,13452914
tt2049386,7.2000000000000002,53.0,Alice in Wonderland,2010,334191110,42356287
tt1014759,6.4000000000000004,53.0,Alice in Wonderland,2010,334191110,42356287
tt0069704,7.4000000000000004,97.0,American Graffiti,1973,115000000,64971751
tt0090633,6.9000000000000004,38.0,An American Tail,1986,42865605,11554071
tt0082010,7.5,55.0,An American Werewolf in London,1981,31973249,11501168
tt0122933,6.7000000000000002,,Analyze This,1999,106885658,21040483
tt0478970,7.2999999999999998,70.0,Ant-Man,2015,180202163,21376294
tt0078788,8.4000000000000004,,Apocalypse Now,1979,78784010,31388051
tt1477834,6.9000000000000004,55.0,Aquaman,2018,199059824,21850694
tt0368578,4.7000000000000002,,Are We There Yet?,2005,82674398,12897721
tt0295178,6.2000000000000002,62.0,Austin Powers in Goldmember,2002,213117789,36681202
tt0145660,6.5999999999999996,59.0,Austin Powers: The Spy Who Shagged Me,1999,206040085,40559071
tt4154796,8.4000000000000004,78.0,Avengers: Endgame,2019,858373000,93708843
tt0090685,6.7000000000000002,82.0,Back to School,1986,91258000,24597843
tt0088763,8.5,10.0,Back to the Future,1985,193144445,54406885
tt0099088,7.4000000000000004,55.0,Back to the Future Part III,1990,88055283,20866180
tt4651520,6.2000000000000002,60.0,Bad Moms,2016,113257297,13093329
tt0072684,8.0999999999999996,89.0,Barry Lyndon,1975,20000000,9756097
tt0103772,7,41.0,Basic Instinct,1992,117727224,28368005
tt0118688,3.7999999999999998,28.0,Batman & Robin,1997,107325195,23382395
tt0372784,8.1999999999999993,70.0,Batman Begins,2005,205343774,32034910
tt0112462,5.4000000000000004,51.0,Batman Forever,1995,184031112,42306002
tt0069768,5.5,40.0,Battle for the Planet of the Apes,1973,8800000,4971751
tt0103786,5.7000000000000002,59.0,Beethoven,1992,56979478,13729994
tt0092644,6.5,16.0,Beverly Hills Cop II,1987,153665036,39300520
tt0094746,6.5999999999999996,61.0,Biloxi Blues,1988,43184798,10507250
tt0083658,8.0999999999999996,,Blade Runner,1982,28486729,9689363
tt0092666,6,51.0,Blind Date,1987,39321000,10056521
tt1478338,6.7999999999999998,75.0,Bridesmaids,2011,169211718,21338174
tt0305669,5.5999999999999996,,Bringing Down the House,2003,132675402,22002554
tt0068327,7.7999999999999998,80.0,Cabaret,1972,41326446,24309674
tt3498820,7.7999999999999998,75.0,Captain America: Civil War,2016,408084349,47177381
tt1843866,7.7000000000000002,70.0,Captain America: The Winter Soldier,2014,259746958,31792773
tt0074285,7.4000000000000004,85.0,Carrie,1976,25878153,12149367
tt0317219,7.0999999999999996,,Cars,2006,244082982,37264577
tt0162222,7.7999999999999998,73.0,Cast Away,2000,109689440,20350545
tt0371606,5.7000000000000002,48.0,Chicken Little,2005,131944653,20584189
tt1661199,6.9000000000000004,67.0,Cinderella,2015,201151353,23861370
tt5089556,8.0999999999999996,67.0,Cinderella,2015,201151353,23861370
tt0120632,6.7000000000000002,78.0,City of Angels,1998,78750909,16791238
tt0088944,6.7000000000000002,51.0,Commando,1985,35073978,9879993
tt0118880,6.9000000000000004,52.0,Con Air,1997,101117573,22029972
tt0115956,6.5999999999999996,77.0,Courage Under Fire,1996,59003384,13349181
tt0068468,5.0999999999999996,64.0,Deep Throat,1972,45000000,26470588
tt0068473,7.7000000000000002,80.0,Deliverance,1972,46122355,27130797
tt1690953,7.2999999999999998,,Despicable Me 2,2013,367956735,45259130
tt3469046,6.2999999999999998,,Despicable Me 3,2017,264624300,29501036
tt0092890,7,65.0,Dirty Dancing,1987,55913006,14300001
tt1840309,6.5999999999999996,48.0,Divergent,2014,150947895,18475874
tt0092925,6,62.0,Dragnet,1987,57387000,14676982
tt0080661,7.0999999999999996,74.0,Dressed to Kill,1980,31899000,11858364
tt0461770,7,75.0,Enchanted,2007,119820940,17415834
tt0116213,6.0999999999999996,87.0,Eraser,1996,101295562,22917547
tt0079116,7.5999999999999996,76.0,Escape from Alcatraz,1979,43000000,17131474
tt5433138,5.2000000000000002,58.0,F9: The Fast Saga,2021,173005945,18887111
tt0119094,7.2000000000000002,,Face/Off,1997,112276146,24461033
tt1596343,7.2999999999999998,,Fast Five,2011,210031325,26485665
tt0085549,6.2000000000000002,39.0,Flashdance,1983,90463574,28718594
tt0408790,6.2999999999999998,53.0,Flightplan,2005,89132263,13905189
tt0369436,5.7000000000000002,41.0,Four Christmases,2008,118189834,16460980
tt0109831,7.0999999999999996,81.0,Four Weddings and a Funeral,1994,52700832,12916870
tt0080761,6.4000000000000004,22.0,Friday the 13th,1980,39754601,14778662
tt0093058,8.3000000000000007,76.0,Full Metal Jacket,1987,45015999,11513043
tt1583421,5.7999999999999998,41.0,G.I. Joe: Retaliation,2013,122523060,15070487
tt1046173,5.7999999999999998,32.0,G.I. Joe: The Rise of Cobra,2009,150201498,20026866
tt0097428,6.5999999999999996,,Ghostbusters II,1989,112494738,28194169
tt1133985,5.5,39.0,Green Lantern,2011,116601172,14703805
tt1502407,6.5999999999999996,87.0,Halloween,2018,159341510,17490835
tt0448157,6.4000000000000004,49.0,Hancock,2008,227946274,31747391
tt0099785,7.5999999999999996,80.0,Home Alone,1990,176954863,41932431
tt2510894,6.7000000000000002,,Hotel Transylvania 2,2015,168471018,19984700
tt0170016,6.2000000000000002,46.0,How the Grinch Stole Christmas,2000,253367455,47006948
tt1646971,7.7999999999999998,,How to Train Your Dragon 2,2014,177002924,21664984
tt0268380,7.5,34.0,Ice Age,2002,176387405,30359277
tt1080016,6.9000000000000004,50.0,Ice Age: Dawn of the Dinosaurs,2009,196573705,26209827
tt0438097,6.7999999999999998,60.0,Ice Age: The Meltdown,2006,195330621,29821468
tt0119360,6.4000000000000004,85.0,In & Out,1997,63417425,13816432
tt3606756,7.5999999999999996,,Incredibles 2,2018,608581744,66803704
tt0367882,6.0999999999999996,65.0,Indiana Jones and the Kingdom of the Crystal Skull,2008,317101119,44164501
tt0087469,7.5,57.0,Indiana Jones and the Temple of Doom,1984,179880271,53535794
tt0141369,4.2000000000000002,36.0,Inspector Gadget,1999,97387965,19170859
tt1300854,7.0999999999999996,,Iron Man 3,2013,408992272,50306552
tt0085750,3.7000000000000002,,Jaws 3-D,1983,42245180,13411168
tt0070239,7.4000000000000004,64.0,Jesus Christ Superstar,1973,24477615,13829161
tt0870154,6.5999999999999996,50.0,Jungle Cruise,2021,116944343,12766849
tt0163025,5.9000000000000004,42.0,Jurassic Park III,2001,181166115,32008147
tt0478311,6.9000000000000004,,Knocked Up,2007,148761765,21622349
tt0070849,7,77.0,Last Tango in Paris,1972,36144824,21261661
tt0093409,7.5999999999999996,68.0,Lethal Weapon,1987,65192350,16673235
tt0097733,7.2000000000000002,,Lethal Weapon 2,1989,147253986,36905760
tt0119528,6.9000000000000004,76.0,Liar Liar,1997,181410615,39523009
tt7545266,4.5999999999999996,33.0,Like a Boss,2020,22169514,2420252
tt0081060,6.5,45.0,Little Darlings,1980,34326249,12760687
tt0337978,7.0999999999999996,69.0,Live Free or Die Hard,2007,134529403,19553692
tt0079489,6.2000000000000002,,Love at First Bite,1979,43900000,17490039
tt0073317,5.2000000000000002,,Lucky Lady,1975,24441725,11922792
tt0097815,7.2000000000000002,,Major League,1989,49793054,12479462
tt0770828,7,55.0,Man of Steel,2013,291045518,35798956
