title,metacritic_score
Cast Away,73
Traffic,86
Crouching Tiger, Hidden Dragon,94
Dr. Dolittle 2,49
Spy Kids,71
The Princess Diaries,52
The Others,74
Legally Blonde,59
America's Sweethearts,44
Cats & Dogs,47
Save the Last Dance,53
How the Grinch Stole Christmas,46
Mission: Impossible 2,
Gladiator,67
The Perfect Storm,59
Meet the Parents,73
X-Men,52
Scary Movie,48
What Lies Beneath,51
Dinosaur,66
Erin Brockovich,73
Nutty Professor II: The Klumps,38
Charlie's Angels,52
Big Momma's House,34
What Women Want,47
Remember the Titans,48
The Patriot,69
Cast Away,73
Chicken Run,88
Gone in 60 Seconds,56
Me, Myself & Irene,49
Space Cowboys,73
Unbreakable,62
Scream 3,56
U-571,62
Hollow Man,24
Star Wars Ep. I: The Phantom Menace,
The Sixth Sense,64
Toy Story 2,88
Austin Powers: The Spy Who Shagged Me,59
The Matrix,73
Tarzan,44
Big Daddy,41
The Mummy,34
Runaway Bride,39
The Blair Witch Project,81
The World is Not Enough,57
Notting Hill,68
Double Jeopardy,40
Wild Wild West,38
Analyze This,61
The General's Daughter,47
American Pie,58
Inspector Gadget,36
Sleepy Hollow,65
The Haunting,33
Shakespeare in Love,87
Entrapment,54
Pokemon: The First Movie,35
Payback,46
Stuart Little,61
Titanic,75
Armageddon,42
Saving Private Ryan,91
There's Something About Mary,69
The Waterboy,41
Doctor Dolittle,34
Deep Impact,40
Rush Hour,60
A Bug's Life,77
Godzilla,62
Good Will Hunting,70
Lethal Weapon 4,37
The Truman Show,90
Mulan,66
As Good as it Gets,67
Enemy of the State,67
The Mask of Zorro,63
Antz,72
The Rugrats Movie,62
The X Files: Fight the Future,
The Wedding Singer,59
City of Angels,54
You've Got Mail,57
The Horse Whisperer,65
Six Days, Seven Nights,51
Men in Black,71
The Lost World: Jurassic Park,59
Liar Liar,76
Air Force One,61
Titanic,75
Star Wars Ep. IV: A New Hope,
My Best Friend's Wedding,50
Face/Off,
Batman & Robin,28
George Of The Jungle,53
Con Air,52
Contact,62
Hercules,74
Tomorrow Never Dies,52
Scream 2,63
Flubber,37
Conspiracy Theory,49
Jerry Maguire,77
I Know What You Did Last Summer,52
Star Wars Ep. V: The Empire Strikes Back,
Dante's Peak,43
Anaconda,37
Scream,65
The Fifth Element,52
In & Out,76
Independence Day,32
Twister,68
Mission: Impossible,86
The Rock,73
Ransom,60
The Nutty Professor,62
The Birdcage,72
101 Dalmatians,49
A Time to Kill,54
The First Wives Club,58
Phenomenon,41
Eraser,87
The Hunchback of Notre Dame,74
Star Trek: First Contact,71
Space Jam,59
Jerry Maguire,77
Mr. Holland's Opus,59
Broken Arrow,61
The Cable Guy,56
Courage Under Fire,77
Jack,81
Jingle All the Way,34
12 Monkeys,
Executive Decision,62
Primal Fear,47
Batman Forever,51
Apollo 13,77
Toy Story,95
Pocahontas,58
Ace Ventura: When Nature Calls,45
Casper,49
Die Hard: With a Vengeance,58
Goldeneye,65
Crimson Tide,66
Waterworld,56
Se7en,
Dangerous Minds,47
While You Were Sleeping,67
Congo,75
Mortal Kombat,60
The Bridges of Madison County,69
Nine Months,47
Get Shorty,82
Outbreak,64
Braveheart,68
Legends of the Fall,45
Bad Boys,59
The Living Sea,
Dumb & Dumber,41
Species,19
The Lion King,88
Forrest Gump,82
True Lies,63
The Santa Clause,57
The Flintstones,38
Clear and Present Danger,74
Speed,37
The Mask,56
Maverick,
Interview with the Vampire,59
Mrs. Doubtfire,53
The Client,65
Schindler's List,94
Philadelphia,66
Ace Ventura: Pet Detective,37
Star Trek: Generations,55
Stargate,42
Dumb & Dumber,41
Wolf,75
Pulp Fiction,94
The Specialist,75
Four Weddings and a Funeral,81
The Little Rascals,45
Disclosure,58
Naked Gun 33 1/3: The Final Insult,
Jurassic Park,68
The Fugitive,87
The Firm,58
Sleepless in Seattle,72
Mrs. Doubtfire,53
Indecent Proposal,35
In the Line of Fire,74
Aladdin,86
Cliffhanger,60
Free Willy,79
The Pelican Brief,50
Groundhog Day,72
A Few Good Men,62
Dave,51
Rising Sun,56
Cool Runnings,60
The Crying Game,90
Scent of a Woman,59
Rookie of the Year,53
The Three Musketeers,35
Dennis the Menace,49
Demolition Man,34
Sommersby,
Last Action Hero,44
Sister Act 2 Back in the Habit,38
Batman Returns,68
Home Alone 2: Lost in New York,46
Lethal Weapon 3,40
Sister Act,51
Aladdin,86
Wayne's World,57
Basic Instinct,41
A League of Their Own,67
The Bodyguard,47
The Hand That Rocks the Cradle,64
Patriot Games,64
Bram Stoker's Dracula,
Under Siege,16
Fried Green Tomatoes,64
A Few Good Men,62
White Men Can't Jump,65
The Last of the Mohicans,76
Unforgiven,85
Boomerang,45
Far and Away,49
Honey I Blew Up the Kid,50
HouseSitter,52
Death Becomes Her,56
Unlawful Entry,61
Beethoven,59
Terminator 2: Judgment Day,75
Robin Hood: Prince of Thieves,51
The Silence of the Lambs,85
City Slickers,70
The Addams Family,57
Home Alone,63
Dances with Wolves,72
Sleeping with the Enemy,48
Hook,
The Naked Gun 2: The Smell of Fear,65
Beauty and the Beast,65
Cape Fear,73
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,45
Backdraft,38
Star Trek VI: The Undiscovered Country,65
Hot Shots!,61
Antarctica,61
What About Bob?,
My Girl,50
Father of the Bride,51
Boyz n the Hood,76
Doc Hollywood,56
The Last Boy Scout,52
Awakenings,74
New Jack City,61
Ghost,84
Pretty Woman,51
Home Alone,63
Teenage Mutant Ninja Turtles,40
The Hunt for Red October,58
Total Recall,43
Die Hard 2,67
Dick Tracy,68
Driving Miss Daisy,81
Back to the Future Part III,55
Presumed Innocent,72
Days of Thunder,60
Dances with Wolves,72
Another 48 Hrs.,23
Bird on a Wire,36
Born on the Fourth of July,75
Flatliners,27
